conceptUri,preferredLabel,altLabels,skillType,reuseLevel,description
http://data.europa.eu/esco/skill/05e5e14f-ffa6-4106-b311-c6335ccc2bd2,solar energy,"solar thermal energy
energy from sunlight
STE
solar technology
renewable solar
solar power
photovoltaic energy
energy from the sun
sun energy",knowledge,cross-sector,"The energy which originates from light and heat from the sun, and which can be harnessed and used as a renewable source of energy using different technologies, such as photovoltaics (PV) for electricity production and solar thermal energy (STE) for thermal energy generation."
http://data.europa.eu/esco/skill/05f05855-acac-4366-a6ee-42f0bebe3780,operate crosscut saw,"operate crosscut saws
use crosscut saw
handle crosscut saw
control crosscut saw
operating crosscut saw
run crosscut saw
activate crosscut saw",skill/competence,cross-sector,Use a blade saw to manually cut wood across the wood grain. Crosscut saws may have small teeth close together for fine work like woodworking or large for course work like log bucking. They can be a hand tool or power tool.
http://data.europa.eu/esco/skill/05fd5f15-5bde-472d-9e1c-5aaa4f59c2a8,crimping,"metal joining
joining of metal
join metal
crimping metal
metal crimping
crimping of metal",knowledge,cross-sector,The joining of two pieces of metal together by deforming one or both so they fit into each other.
http://data.europa.eu/esco/skill/060850d5-3dab-476a-beea-4a01408c1bad,critique the dive with the dive team,"reviewing the dive with the dive team
dive assessing with the dive team
dive critiquing with the dive team
assessing the dive with the dive team
assess the dive with the dive team
review the dive with the dive team
dive reviewing with the dive team
critiquing the dive with the dive team",skill/competence,cross-sector,Assess the dive with the dive team upon completion. Instruct the diver(s) so as to improve procedures and routines for future dives.
http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2,perform online data analysis,"implement online data analysis
undertake online data analysis
performing online data analysis
perform an online data analysis
performing an online data analysis
complete online data analysis",skill/competence,cross-sector,"Analyse online experiences and online data for purposes of understanding user behaviour, triggers of online attention, and other factors that could optimise webpage development and exposure."
http://data.europa.eu/esco/skill/064565c0-4a4c-4a1f-b014-09227ffd5a9f,load animals for transportation,"load and unload animals for transportation
load animals for transportation in transport vehicle
load animal
load and unload animal for transportation
load animals
load animals in transport vehicle
load animals safely",skill/competence,cross-sector,Load and unload animals safely into containers or cages for transportation. Make sure they are secure and safely established in the transport vehicle.
http://data.europa.eu/esco/skill/0654d206-36a6-4d37-bb98-eb8bd33af3c5,handle refrigerant transfer pumps,"administer refrigerator coolant systems
employ refrigerator coolant systems
exploit refrigerant transfer pumps
employ refrigerant transfer pumps
utilise refrigerant transfer pumps
administer refrigerant transfer pumps
exploit refrigerator coolant systems
utilise refrigerator coolant systems",skill/competence,cross-sector,Handle the different transfer pumps used to keep a refrigerant in the liquid phase at the right pressure for an optimal accuracy and speed of the charging station.
http://data.europa.eu/esco/skill/06670261-ea6b-4b52-a915-c7d4ff837f74,identify statistical patterns,"identify statistical pattern
identifying statistical patterns
examine statistical patterns
evaluate statistical patterns
determine statistical patterns
assess statistical patterns",skill/competence,cross-sector,Analyse statistical data in order to find patterns and trends in the data or between variables.
http://data.europa.eu/esco/skill/06bd47bc-d9f3-4517-8e34-c55c2e81f8c2,workplace sanitation,"workplace health
workplace hygiene
workplace cleanliness",knowledge,cross-sector,"The importance of a clean, sanitary workspace for example through use of hand disinfectant and sanitizer, in order to minimise infection risk between colleagues or when working with children."
http://data.europa.eu/esco/skill/06cf28f4-608d-4fb9-94c5-c0698d70ea71,maintain cutting equipment,"maintaining cutting equipment
preserve cutting equipment
control cutting equipment
manage cutting equipment
sustain cutting equipment
maintain the cutting equipment",skill/competence,cross-sector,"Maintenance of the cutting equipment (knives, cutters, and other elements)."
http://data.europa.eu/esco/skill/06d63a6c-3786-48ae-98f6-71acbe49958c,wet tumbling,"moist deburring and polishing processes
damp deburring and polishing processes
damp tumbling
saturated tumbling
liquid tumbling
liquid deburring and polishing processes
saturated deburring and polishing processes
moist tumbling",knowledge,cross-sector,"Process of tumbling, employing water and other agents inside a wet tumbling barrel to clean and remove burrs from metal parts and stones in order to smoothen them."
